date,quantum_chip_price_usd,chip_size_qubits,efficiency_score,accuracy_percent
2026-01-01,120334.62,64,0.4086,91.419
2026-01-02,118485.71,64,0.4342,91.674
2026-01-03,119241.23,64,0.4271,91.692
2026-01-04,116321.51,64,0.4387,91.832
2026-01-05,115463.69,64,0.4468,91.994
2026-01-06,115857.86,72,0.4558,92.082
2026-01-07,115642.63,72,0.4592,92.27
2026-01-08,114525.53,72,0.4757,92.146
2026-01-09,114297.31,72,0.4841,92.233
2026-01-10,111382.12,72,0.5048,92.527
2026-01-11,112237.11,80,0.5105,92.613
2026-01-12,111785.48,80,0.5106,92.729
2026-01-13,110590.57,80,0.5248,92.95
2026-01-14,109135.65,80,0.5354,92.766
2026-01-15,107446.96,80,0.5339,92.889
2026-01-16,106608.7,88,0.5379,93.07
2026-01-17,106725.64,88,0.5528,93.213
2026-01-18,104852.82,88,0.5589,93.527
2026-01-19,105055.28,88,0.5756,93.362
2026-01-20,104399.9,88,0.5734,93.547
2026-01-21,104174.86,96,0.5934,93.721
2026-01-22,102593.07,96,0.6067,93.909
2026-01-23,100649.72,96,0.5958,93.854
2026-01-24,99892.58,96,0.6086,94.189
2026-01-25,100503.28,96,0.6196,94.196
2026-01-26,98499.52,104,0.6424,94.235
2026-01-27,97335.71,104,0.6349,94.382
2026-01-28,96480.58,104,0.6515,94.613
2026-01-29,95958.56,104,0.6513,94.759
2026-01-30,95372.86,104,0.6567,94.527
